excluida;linha;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;AVALIADOR.3;AVALIADOR.2;AVALIADOR.1;VOTO.COERENTE;VOTO.INCOERENTE;COERENCIA.FINAL;dptOIE;stanford;orange;mquni;lys;sistemas;COERÊNCIA
;11;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;12;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;13;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de cantora ;0;1;1;2;1;1;0;1;0;0;0;stanford;1
;14;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de cantora Xuxa ;1;1;1;3;0;1;1;0;1;1;0;orange, mquni, dptoie;1
;15;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;e cantora Xuxa ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;16;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;cantora ; é;Xuxa ;1;1;1;3;0;1;1;0;1;1;0;orange, mquni, dptoie;1
;17;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;e cantora ; é;Xuxa ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;18;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;o álbum ; é;Arraiá ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;19;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;o álbum ; é;Arraiá de a Xuxa ;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie;1
;20;2;O World Fantasy Award é entregue durante o evento . ;O World Fantasy Award ; é;entregue durante o evento ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;21;2;O World Fantasy Award é entregue durante o evento . ;O World Fantasy Award ; é entregue;durante o evento ;1;1;1;3;0;1;1;1;1;0;1;stanford, orange, lys, dptoie;1
;22;3;en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ;en o litoral de o Golfo de a Guiné ; é;( Oceano Atlântico ) ;0;0;1;1;2;0;0;0;1;0;1;orange, lys;1
;23;3;en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ;o Golfo de a Guiné ; é;( Oceano Atlântico ) ;0;0;1;1;2;0;1;1;0;1;0;stanford, mquni, dptoie;1
;24;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;;;;;;0;0;1;0;0;1;0;0;0;stanford;0
;25;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; prestando -;a as suas pequenas exigências ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;26;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo ;0;0;0;0;3;0;1;0;1;0;0;orange, dptoie;0
;27;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos ;0;0;0;0;3;0;1;0;1;0;0;orange, dptoie;0
;28;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos , prestando - a as suas pequenas exigências ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;29;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos De início recebido com frieza ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;30;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos De início recebido com frieza por a família ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;31;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos De início recebido com frieza por a família , logo ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;32;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;33;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos recebido De início ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;34;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos recebido De início com frieza ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;35;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos recebido De início com frieza por a família ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;36;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo em todos os desejos recebido De início com frieza por a família , Marcondes conquista logo ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;37;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;a afeição , prestando - a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;38;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;a afeição , prestando - se ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;39;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;a afeição de Pedroca De início recebido com frieza ;0;1;1;2;1;1;0;0;0;1;0;mquni;1
;40;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;a afeição de Pedroca De início recebido com frieza por a família ;0;1;1;2;1;1;0;0;0;1;0;mquni;1
;41;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;a afeição de Pedroca em todos os desejos ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;42;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;a afeição de Pedroca procurando contentá - lo ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;43;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;logo a afeição de Pedroca ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;44;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;logo a afeição de Pedroca procurando contentá - lo ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;45;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;logo a afeição de Pedroca procurando contentá - lo em todos os desejos ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;46;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;logo a afeição de Pedroca procurando contentá - lo em todos os desejos , prestando - se ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;47;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes ; conquista;logo a afeição de Pedroca procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;48;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando;contentá - lo ;1;1;1;3;0;1;0;0;1;0;0;orange;1
;49;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando;contentá - lo em todos os desejos ;1;1;1;3;0;1;0;0;1;0;0;orange;1
;50;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando;contentá - lo em todos os desejos , prestando - a as suas pequenas exigências ;1;1;1;3;0;1;0;0;1;0;0;orange;1
;51;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando;contentá - lo em todos os desejos De início recebido com frieza ;0;1;0;1;2;0;0;0;1;0;0;orange;0
;52;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando;contentá - lo em todos os desejos De início recebido com frieza por a família ;0;1;0;1;2;0;0;0;1;0;0;orange;0
;53;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;a as suas pequenas exigências ;1;0;1;2;1;1;0;0;0;0;1;lys;1
;54;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;a as suas pequenas exigências , com seu jeito de boêmio ;1;0;1;2;1;1;0;0;0;0;1;lys;1
;55;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;a as suas pequenas exigências , com seu jeito de boêmio , seus ares “ dramáticos de d. ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;56;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;a as suas pequenas exigências , com seu jeito de boêmio De início recebido com frieza por a família ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;57;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;a as suas pequenas exigências de boêmio seus ares “ dramáticos de d. ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;58;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;a as suas pequenas exigências de boêmio seus ares “ dramáticos de d. De início recebido com frieza por a família ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;59;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;com seu jeito , seus ares “ dramáticos de d. ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;60;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;com seu jeito de boêmio ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;61;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;De início recebido com frieza ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;62;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;Marcondes conquista ; logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se;De início recebido com frieza por a família ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;63;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;músico americano ; é;George Lewis Jr ;1;1;1;3;0;1;1;1;1;0;1;stanford, orange, lys, dptoie;1
;64;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Nova Iorque ; é;Estados Unidos ;0;0;0;0;3;0;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;0
;65;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;o nome artístico de músico americano ; é;George Lewis Jr ;0;1;0;1;2;0;0;0;0;1;0;mquni;0
;66;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; cresceu;em Nova Iorque , Estados Unidos ;1;1;1;3;0;1;1;0;1;1;1;orange, mquni, lys, dptoie;1
;67;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; cresceu;en o Brooklyn ;1;1;1;3;0;1;1;0;1;1;1;orange, mquni, lys, dptoie;1
;68;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; cresceu;en o Brooklyn em Nova Iorque , Estados Unidos ;1;1;1;3;0;1;1;0;1;1;1;orange, mquni, lys, dptoie;1
;69;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é;o nome artístico ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;70;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;artístico de músico americano ;0;1;0;1;2;0;0;0;0;1;0;mquni;0
;71;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;artístico de músico americano George Lewis Jr ;0;1;0;1;2;0;0;1;1;0;1;stanford, orange, lys;0
;72;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;artístico de músico americano George Lewis Jr nascido en a República Dominicana ;0;1;0;1;2;0;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;0
;73;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 ;0;1;0;1;2;0;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;0
;74;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn ;0;1;0;1;2;0;0;1;0;0;0;stanford;0
;75;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos ;0;1;0;1;2;0;0;1;0;0;0;stanford;0
;76;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;de músico americano ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;77;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;de músico americano George Lewis Jr ;1;1;1;3;0;1;0;1;1;0;1;stanford, orange, lys;1
;78;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;de músico americano George Lewis Jr em 1983 ;0;0;1;1;2;0;1;0;0;0;0;dptoie;1
;79;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;de músico americano George Lewis Jr nascido en a República Dominicana ;0;1;1;2;1;1;1;0;0;0;0;dptoie;1
;80;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;George Lewis Jr nascido em 1983 ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;81;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;George Lewis Jr nascido en a República Dominicana ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;82;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;nascido e cresceu em Nova Iorque , Estados Unidos ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;83;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;nascido e cresceu en o Brooklyn ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;84;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;nascido em 1983 ;0;0;0;0;3;0;0;1;1;0;1;stanford, orange, lys;0
;85;5;Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ;Twin Shadow ; é o nome;nascido en a República Dominicana ;0;0;0;0;3;0;0;1;1;0;1;stanford, orange, lys;0
;86;6;Para ganhar a confiança de Sophie de volta , Krusty tenta recuperar o violino de a residência de Fat Tony com a ajuda de Homer . ;Krusty ; tenta;recuperar o violino ;1;1;1;3;0;1;0;1;0;0;0;stanford;1
;87;6;Para ganhar a confiança de Sophie de volta , Krusty tenta recuperar o violino de a residência de Fat Tony com a ajuda de Homer . ;Krusty ; tenta;recuperar o violino de a residência de Fat Tony ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
