ID SENTENÇA ,SENTENÇA ,ID EXTRAÇÃO ,ARG1 ,REL ,ARG2 ,COERÊNCIA ,MINIMALIDADE ,MÓDULO SUJEITO ,MÓDULO RELAÇÃO ,MÓDULO ARG2,SISTEMA
,,3.0,Horntown , é uma cidade,"localizada , en o Condado de Hughes ",,,1,1,0,dptoie
,,4.0,Horntown , é,uma cidade localizada en o estado norte - americano ,,,1,5,1,dptoie
10,O Presidente de a África de o Sul é o chefe de Estado e de governo de a nação sul - africana . ,1.0,O Presidente de a África de o Sul , é o chefe,de Estado e de governo de a nação sul - africana ,,,1,1,1,dptoie
,,2.0,O Presidente de a África de o Sul , é o chefe,de Estado ,,,1,1,2,dptoie
,,3.0,O Presidente de a África de o Sul , é o chefe,de governo ,,,1,1,2,dptoie
,,4.0,O Presidente de a África de o Sul , é,o chefe ,,,1,5,1,dptoie
,,5.0,O Presidente de a África de o Sul , é,de Estado e de governo ,,,1,5,1,dptoie
11,Foi desenvolvido como parte de o programa Oko de satélites artificiais . ,1.0,o programa , é,Oko de satélites artificiais ,,,1,3,3,dptoie
12,"en a década de 1950 , quando já se tinha a a disposição uma nova instrumentação , especialmente foguetes e sismógrafos , inspiraram a o cientista norte - americano Lloyd Berkner a propor um terceiro Ano Polar . ",1.0,o cientista norte - americano , é,Lloyd Berkner ,,,1,3,3,dptoie
,,2.0,um terceiro , é,Ano Polar ,,,1,3,3,dptoie
13,As filmagens começaram em 11 de setembro de 2011 . ,1.0,As filmagens , começaram,em 11 de setembro de 2011 ,,,1,1,1,dptoie
14,Dalmau IV de Rocabertí Visconde de Rocabertí foi e Duque substituto en o Ducado de Atenas entre 1381 e 1388 . ,1.0,Dalmau IV de Rocabertí Visconde de Rocabertí , foi e Duque substituto,en o Ducado de Atenas ,,,1,1,1,dptoie
,,2.0,Dalmau IV de Rocabertí Visconde de Rocabertí , foi e Duque substituto,en o Ducado de Atenas entre 1381 e 1388 ,,,1,1,1,dptoie
,,3.0,Dalmau IV de Rocabertí Visconde de Rocabertí , foi e Duque substituto,entre 1381 e 1388 ,,,1,1,0,dptoie
,,4.0,Dalmau IV de Rocabertí Visconde de Rocabertí , foi e Duque substituto,en o Ducado de Atenas entre 1381 ,,,1,1,2,dptoie
,,5.0,Dalmau IV de Rocabertí Visconde de Rocabertí , foi e Duque substituto,en o Ducado de Atenas entre 1388 ,,,1,1,2,dptoie
15,"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ",1.0,Tal percepção , é,visível ,,,1,1,1,dptoie
,,2.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco ,,,1,1,1,dptoie
,,3.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco quando notam a limpeza e organização presente ,,,1,1,1,dptoie
,,4.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco quando notam a limpeza e organização presente en a cultura de o povo local ,,,1,1,1,dptoie
,,5.0,os visitantes de os mais diversos estados brasileiros , têm,que ,,,1,1,1,dptoie
,,6.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar quando notam a limpeza e organização presente ,,,1,1,0,dptoie
,,7.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar quando notam a limpeza e organização en a cultura de o povo local ,,,1,1,0,dptoie
,,8.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco quando notam a limpeza ,,,1,1,2,dptoie
,,9.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco quando notam a limpeza que ,,,1,1,2,dptoie
,,10.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco quando notam organização presente ,,,1,1,2,dptoie
,,11.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco quando notam organização presente que ,,,1,1,2,dptoie
,,12.0,o Rio , é,São Francisco ,,,1,3,3,dptoie
16,"O CSKA venceu 5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia e cinco Copas de a União Soviética . ",1.0,O CSKA , venceu,5 Campeonatos Russos ,,,1,1,1,dptoie
,,2.0,O CSKA , venceu,"5 Campeonatos Russos , sete Campeonatos Soviéticos ",,,1,1,1,dptoie
,,3.0,O CSKA , venceu,"5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia ",,,1,1,1,dptoie
,,4.0,O CSKA , venceu,"5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia e cinco Copas de a União Soviética ",,,1,1,1,dptoie
,,5.0,O CSKA , venceu,"5 Campeonatos , sete Campeonatos Soviéticos ",,,1,1,0,dptoie
,,6.0,O CSKA , venceu,5 Campeonatos sete Copas de a Rússia ,,,1,1,0,dptoie
,,7.0,O CSKA , venceu,5 Campeonatos sete Copas e cinco Copas de a União Soviética ,,,1,1,0,dptoie
,,8.0,O CSKA , venceu,"5 Campeonatos Russos , sete Campeonatos Soviéticos , de a Rússia cinco Copas de a União Soviética ",,,1,1,2,dptoie
,,9.0,5 Campeonatos , é,Russos ,,,1,3,3,dptoie
17,"Este pertência a o Rei de Soleanna , um homem que almejava o poder para viajar através de o tempo . ",1.0,um homem , almejava,o poder ,,,2,1,1,dptoie
,,2.0,um homem , almejava,o poder para viajar através de o tempo ,,,2,1,1,dptoie
18,"Lançada em 1997 , a canção foi terceiro single de o álbum Everywhere . ",1.0,a canção , foi,Lançada em 1997 ,,,1,1,1,dptoie
,,2.0,o álbum , é,Everywhere ,,,1,3,3,dptoie
19,"Passa por muitas praias de a Costa de a Prata , entre elas : Valadares , Espinho , Esmoriz , Ovar , Mira , Figueira de a Foz e Termas de Monte Real . ",,,,,,,,,,dptoie
20,"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ",1.0,A única esperança para os sobreviventes , é Kit Latura,( Sylvester Stallone ) ,,,1,1,1,dptoie
,,2.0,A única esperança para os sobreviventes , é Kit Latura,"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel ",,,1,1,1,dptoie
,,3.0,A única esperança para os sobreviventes , é Kit Latura,"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas ",,,1,1,1,dptoie
,,4.0,A única esperança para os sobreviventes , é Kit Latura,um ex - bombeiro que precisará entrar en o túnel ,,,1,1,0,dptoie
,,5.0,A única esperança para os sobreviventes , é Kit Latura,um ex - bombeiro que precisará entrar e resgatar as vítimas ,,,1,1,0,dptoie
,,6.0,um ex - bombeiro , precisará,entrar en o túnel ,,,2,1,1,dptoie
,,7.0,um ex - bombeiro , precisará,entrar en o túnel e resgatar as vítimas ,,,2,1,1,dptoie
,,8.0,Kit Latura , é,( Sylvester Stallone ) ,,,1,3,3,dptoie
,,9.0,A única esperança para os sobreviventes , é,Kit Latura ( Sylvester Stallone ,,,1,5,1,dptoie
,,10.0,A única esperança para os sobreviventes , é,que o próprio túnel desabe ,,,1,5,1,dptoie
,,11.0,A única esperança para os sobreviventes , é Kit Latura,"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ",,,x,x,x,dptoie
,,11.1,o ar , se esgote,,x,x,1,1,0,dptoie
,,12.0,A única esperança para os sobreviventes , é Kit Latura,antes que ,,,x,x,x,dptoie
,,12.1,o ar , se esgote,,x,x,1,1,0,dptoie
21,"Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ",1.0,Sua população , era,de 3 528 habitantes ,,,1,1,1,dptoie
,,2.0,Sua população , era,"de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE ",,,1,1,1,dptoie
,,3.0,Sua população , era,segundo dados de o IBGE ,,,1,1,0,dptoie
,,4.0,Sua população , estimada,em 2004 ,,,1,1,1,dptoie
22,O diagrama seguinte representa as localidades em um raio de 8 km a o redor de Muniz . ,1.0,O diagrama seguinte , representa,as localidades em um raio de 8 km ,,,1,1,1,dptoie
,,2.0,O diagrama seguinte , representa,as localidades em um raio de 8 km a o redor de Muniz ,,,1,1,1,dptoie
23,"Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ",1.0,Tiago , foi,o goleiro ,,,1,1,1,dptoie
,,2.0,Tiago , foi,o goleiro com mais gols en o Brasil ,,,1,1,1,dptoie
,,3.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total ",,,1,1,1,dptoie
,,4.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival e ídolo Rogério Ceni ",,,1,1,1,dptoie
,,5.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo ",,,1,1,1,dptoie
,,6.0,Tiago , foi,o goleiro Em 2007 ,,,1,1,1,dptoie
,,7.0,Tiago , foi,o goleiro 13 en o total ,,,1,1,0,dptoie
,,8.0,Tiago , foi,"o goleiro , contra 10 de o rival e ídolo Rogério Ceni ",,,1,1,0,dptoie
,,9.0,Tiago , foi,"o goleiro , sendo ",,,1,1,0,dptoie
,,10.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival ",,,1,1,2,dptoie
,,11.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival Em 2007 ",,,1,1,2,dptoie
,,12.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de ídolo ",,,1,1,2,dptoie
,,13.0,Tiago , foi,"o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de ídolo Em 2007 ",,,1,1,2,dptoie
,,14.0,o rival , é,Rogério Ceni ,,,1,3,3,dptoie
24,"O seu significado é celeiro , despenseiro . ",1.0,O seu significado , é celeiro,despenseiro ,,,1,1,1,dptoie
,,2.0,O seu significado , é,"celeiro , despenseiro ",,,1,5,1,dptoie
25,"Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ",1.0,Naganuma , é um asteróide,de a cintura principal ,,,1,1,1,dptoie
,,2.0,Naganuma , é um asteróide,"de a cintura principal , a 1,7205248 UA ",,,1,1,1,dptoie
,,3.0,Naganuma , é um asteróide,"a 1,7205248 UA ",,,1,1,0,dptoie
,,4.0,Naganuma , é,um asteróide de a cintura principal ,,,1,5,1,dptoie
26,A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ,1.0,A galáxia , foi descoberta,em 17 de Março de 1787 ,,,1,1,1,dptoie
,,2.0,A galáxia , foi descoberta,em 17 de Março de 1787 por William Herschel ,,,1,1,1,dptoie
,,3.0,A galáxia , foi descoberta,por William Herschel ,,,1,1,0,dptoie
,,4.0,A galáxia , é,NGC 3158 ,,,1,3,3,dptoie
,,5.0,NGC 3158 , foi descoberta,em 17 de Março de 1787 ,,,3,1,1,dptoie
,,6.0,NGC 3158 , foi descoberta,em 17 de Março de 1787 por William Herschel ,,,3,1,1,dptoie
,,7.0,NGC 3158 , foi descoberta,por William Herschel ,,,3,1,0,dptoie
27,"en a partida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a partida en a condição de mandante . ",1.0,a equipe , realizará,a partida en a condição de mandante ,,,1,1,1,dptoie
,,2.0,a equipe , realizará,a partida en a condição de mandante en a partida de a fase final ,,,1,1,1,dptoie
,,3.0,a equipe , tiver,obtido a melhor campanha ,,,2,1,1,dptoie
,,4.0,a equipe , tiver,obtido a melhor campanha en a somatória de todas as fases anteriores ,,,2,1,1,dptoie
,,5.0,a equipe , tiver,"obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional ",,,2,1,1,dptoie
,,6.0,a equipe , tiver,obtido ,,,2,1,0,dptoie
,,7.0,en o caso , é,o Internacional ,,,1,3,3,dptoie
28,Thomasomys laniger é uma espécie de roedor de a família Cricetidae . ,1.0,Thomasomys laniger , é uma espécie,de roedor ,,,1,1,1,dptoie
,,2.0,Thomasomys laniger , é uma espécie,de roedor de a família Cricetidae ,,,1,1,1,dptoie
,,3.0,Thomasomys laniger , é uma espécie,de a família Cricetidae ,,,1,1,0,dptoie
,,4.0,a família , é,Cricetidae ,,,1,3,3,dptoie
,,5.0,Thomasomys laniger , é,uma espécie de roedor ,,,1,5,1,dptoie
29,"Sillis ( asteróide 21627 ) é um asteróide de a cintura principal , a 2,032963 UA . ",1.0,Sillis , é um asteróide,de a cintura principal ,,,1,1,1,dptoie
,,2.0,Sillis , é um asteróide,"de a cintura principal , a 2,032963 UA ",,,1,1,1,dptoie
,,3.0,Sillis , é um asteróide,"a 2,032963 UA ",,,1,1,0,dptoie
,,4.0,Sillis , é,um asteróide de a cintura principal ,,,1,5,1,dptoie
30,"Del james ( nascido em 5 de Fevereiro de 1964 em New Rochelle , Nova Iorque , EUA ) é um escritor e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy de a banda Testament en o álbum The Ritual . ",1.0,Del james , é,um escritor e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy ,,,1,1,1,dptoie
,,2.0,Del james , é,um escritor e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy de a banda Testament ,,,1,1,1,dptoie
,,3.0,Del james , é,um escritor e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy de a banda Testament en o álbum The Ritual ,,,1,1,1,dptoie
,,4.0,Del james , é,e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy ,,,1,1,0,dptoie
,,5.0,Del james , é,e jornalista conhecido por ter trabalhado com Axl Rose de a banda de a banda Testament ,,,1,1,0,dptoie
,,6.0,Del james , é,e jornalista conhecido en o álbum The Ritual ,,,1,1,0,dptoie
,,7.0,Del james , é,e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses ,,,1,1,2,dptoie
,,8.0,Del james , é,e jornalista conhecido por ter trabalhado com Axl Rose de a banda com Chuck Billy ,,,1,1,2,dptoie
,,9.0,Nova Iorque , é,EUA ) ,,,1,3,3,dptoie
,,10.0,a banda , é,Testament ,,,1,3,3,dptoie
,,11.0,o álbum , é,The Ritual ,,,1,3,3,dptoie
,,12.0,Del james , é,um escritor ,,,1,5,1,dptoie
,,13.0,Del james , é,jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy de a banda Testament en o álbum The Ritual ,,,1,5,1,dptoie
31,Jerônimo de Cárdia foi um historiador grego . ,1.0,Jerônimo de Cárdia , foi um historiador,grego ,,,1,1,1,dptoie
,,2.0,Jerônimo de Cárdia , foi,um historiador grego ,,,1,5,1,dptoie
32,"Estes espíritos eram mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício . ",1.0,Estes espíritos , eram,"mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas ",,,1,1,1,dptoie
,,2.0,Estes espíritos , eram,"mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício ",,,1,1,1,dptoie
,,3.0,Estes espíritos , eram,"mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ",,,1,1,2,dptoie
,,4.0,Estes espíritos , eram,"mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas ofertas ",,,1,1,2,dptoie
,,5.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram compostos,de ofertas respeitosas ou ofertas ,,,1,1,1,dptoie
,,6.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram compostos,de ofertas respeitosas ou ofertas de sacrifício ,,,1,1,1,dptoie
,,7.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram compostos,de ofertas respeitosas de sacrifício ,,,1,1,0,dptoie
,,8.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram compostos,de ofertas respeitosas ,,,1,1,2,dptoie
,,9.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram compostos,"mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas ofertas ",,,1,1,2,dptoie
,,10.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", injustiçadas,por o portador ,,,1,1,1,dptoie
,,11.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram,compostos ,,,1,5,1,dptoie
,,12.0,"descritos como espectros de animais ou pessoas , os ritos de exorcismo geralmente ", eram,de ofertas respeitosas ou ofertas ,,,1,5,1,dptoie
33,"Mohanpur Mohammadpur é uma vila en o distrito de Hardwar , en o estado indiano de Uttaranchal . ",1.0,Mohanpur Mohammadpur , é uma vila,en o distrito de Hardwar ,,,1,1,1,dptoie
,,2.0,Mohanpur Mohammadpur , é uma vila,"en o distrito de Hardwar , en o estado indiano de Uttaranchal ",,,1,1,1,dptoie
,,3.0,Mohanpur Mohammadpur , é uma vila,en o estado indiano de Uttaranchal ,,,1,1,0,dptoie
,,4.0,Mohanpur Mohammadpur , é,uma vila en o distrito de Hardwar ,,,1,5,1,dptoie
34,"Epidendrum denticulatum , é uma espécie de orquídea , muito comum en o Brasil , que faz parte de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas , distintas apenas por pequenos detalhes , as quais de modo geral são consideradas sinônimos de o E. ",1.0,muito comum en o Brasil , faz,parte de um grupo de espécies de pertencentes a o gênero Epidendrum ,,,2,1,1,dptoie
,,2.0,muito comum en o Brasil , faz,"parte de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas ",,,2,1,1,dptoie
,,3.0,muito comum en o Brasil , faz,"parte de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas , distintas apenas por pequenos detalhes ",,,2,1,1,dptoie
,,4.0,muito comum en o Brasil , faz,"parte de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas , distintas apenas por pequenos detalhes , as quais de modo geral são consideradas ",,,2,1,1,dptoie
,,5.0,o gênero , é,Epidendrum ,,,1,3,3,dptoie
35,"A Koyamaki foi escolhida como o kamon ( brasão ) de o Príncipe Hisahito de Akishino , actualmente o terceiro en a sucessão de o Trono de o Crisântemo . ",1.0,A Koyamaki , foi escolhida,como o kamon ( brasão ) ,,,1,1,1,dptoie
,,2.0,A Koyamaki , foi escolhida,como o kamon ( brasão ) de o Príncipe Hisahito de Akishino ,,,1,1,1,dptoie
,,3.0,A Koyamaki , foi escolhida,"como o kamon ( brasão ) de o Príncipe Hisahito de Akishino , actualmente o terceiro en a sucessão de o Trono de o Crisântemo ",,,1,1,1,dptoie
,,4.0,A Koyamaki , foi escolhida,como o kamon de o Príncipe Hisahito de Akishino ,,,1,1,0,dptoie
,,5.0,A Koyamaki , foi escolhida,"como o kamon , actualmente o terceiro en a sucessão de o Trono de o Crisântemo ",,,1,1,0,dptoie
36,"O realismo de o show acabou por se tornar uma barreira para a audiência , segundo o instituto Nielsen Media Research , a série tinha índices baixíssimos de audiência e foi cancelada com menos de 4 meses en o ar . ",1.0,O realismo de o show , acabou,por se tornar uma barreira ,,,1,1,1,dptoie
,,2.0,O realismo de o show , acabou,por se tornar uma barreira para a audiência ,,,1,1,1,dptoie
,,3.0,O realismo de o show , acabou,"por se tornar uma barreira para a audiência , segundo o instituto Nielsen Media Research ",,,1,1,1,dptoie
,,4.0,O realismo de o show , acabou,para a audiência ,,,1,1,0,dptoie
,,5.0,O realismo de o show , acabou,segundo o instituto Nielsen Media Research ,,,1,1,0,dptoie
,,6.0,O realismo de o show , acabou,segundo o instituto ,,,1,1,0,dptoie
,,7.0,a série , tinha,índices baixíssimos de audiência ,,,1,1,1,dptoie
,,8.0,a série , foi cancelada,com menos de 4 meses ,,,1,2,1,dptoie
,,9.0,a série , foi cancelada,com menos de 4 meses en o ar ,,,1,2,1,dptoie
,,10.0,a série , foi cancelada,en o ar ,,,1,2,0,dptoie
,,11.0,segundo o instituto , é,Nielsen Media Research ,,,1,3,3,dptoie
37,"O clima é geralmente mais quente que o de Auckland , com menos humidade e chuva , e mais horas de luz . ",1.0,O clima , é,mais quente ,,,1,1,1,dptoie
,,2.0,O clima , é,mais quente que o de Auckland ,,,1,1,1,dptoie
,,3.0,O clima , é,"mais quente que o de Auckland , com menos humidade e chuva , e mais horas de luz ",,,1,1,1,dptoie
,,4.0,O clima , é,"mais quente , com menos humidade e chuva , e mais horas de luz ",,,1,1,0,dptoie
,,5.0,O clima , é,"mais quente que o de Auckland , com menos humidade ",,,1,1,2,dptoie
,,6.0,O clima , é,mais quente que o de Auckland chuva ,,,1,1,2,dptoie
,,7.0,O clima , é,mais quente que o de Auckland mais horas de luz ,,,1,1,2,dptoie
38,"Põlde é localizado en o município de Abja vald e Viljandimaa , en o sul de o país , e 150 km a o sul de a capital Tallinn . ",1.0,Põlde , é localizado,en o município de Abja vald ,,,1,1,1,dptoie
,,2.0,Põlde , é localizado,"en o município de Abja vald e Viljandimaa , en o sul de o país ",,,1,1,1,dptoie
