 "ID SENTENÇA" ; "SENTENÇA" ; "ID EXTRAÇÃO" ; "ARG1" ; "REL" ; "ARG2" ; "COERÊNCIA" ; "MINIMALIDADE" ; "MÓDULO SUJEITO" ; "MÓDULO RELAÇÃO" ; "MÓDULO ARG2";
"12";"en a década de 1950 , quando já se tinha a a disposição uma nova instrumentação , especialmente foguetes e sismógrafos , inspiraram a o cientista norte - americano Lloyd Berkner a propor um terceiro Ano Polar . ";"1.0";"uma nova instrumentação ";" quando já se , tinha";"a a disposição ";"";"";"1";"1";"1";
"";"";"2.0";"o cientista norte - americano ";" é";"Lloyd Berkner ";"";"";"1";"3";"3";
"13";"As filmagens começaram em 11 de setembro de 2011 . ";"1.0";"As filmagens ";" começaram";"em 11 de setembro de 2011 ";"";"";"1";"1";"1";
"14";"Dalmau IV de Rocabertí Visconde de Rocabertí foi e Duque substituto en o Ducado de Atenas entre 1381 e 1388 . ";"";"";"";"";"";"";"";"";
"15";"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ";"1.0";"Tal percepção ";" é";"visível ";"";"";"1";"1";"1";
"";"";"2.0";"quem ";" transita";"por a principal via de a cidade de Canindé de São Francisco ";"";"";"1";"1";"1";
"";"";"3.0";"os visitantes de os mais diversos estados brasileiros ";" têm";"que ";"";"";"1";"1";"1";
"";"";"4.0";"Tal percepção ";" condiz";"com a impressão que os visitantes de os mais diversos estados brasileiros têm ";"";"";"1";"2";"1";
"";"";"5.0";"Tal percepção ";" condiz";"com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ";"";"";"1";"2";"1";
"";"";"6.0";"Tal percepção ";" condiz";"com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam ";"";"";"1";"2";"1";
"";"";"7.0";"Tal percepção ";" condiz";"a o visitar os cânions de o Rio São Francisco ";"";"";"1";"2";"0";
"";"";"8.0";"Tal percepção ";" condiz";"a o visitar os cânions , quando notam ";"";"";"1";"2";"0";
"";"";"9.0";"Tal percepção ";" é";"visível ";"";"";"1";"1";"6";
"";"";"9.1";"quem ";" transita";"por a principal via de a cidade de Canindé de São Francisco ";"x";"x";"x";"x";"x";
"16";"O CSKA venceu 5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia e cinco Copas de a União Soviética . ";"1.0";"O CSKA ";" venceu";"5 Campeonatos Russos , sete Campeonatos Soviéticos ";"";"";"1";"1";"1";
"";"";"2.0";"O CSKA ";" venceu";"5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia e cinco Copas de a União Soviética ";"";"";"1";"1";"1";
"";"";"3.0";"O CSKA ";" venceu";"5 Campeonatos Russos ";"";"";"1";"1";"2";
"";"";"4.0";"O CSKA ";" venceu";"Russos sete Campeonatos Soviéticos ";"";"";"1";"1";"2";
"";"";"5.0";"O CSKA ";" venceu";"Russos sete Copas de a Rússia ";"";"";"1";"1";"2";
"";"";"6.0";"O CSKA ";" venceu";"Russos cinco Copas de a União Soviética ";"";"";"1";"1";"2";
"17";"Este pertência a o Rei de Soleanna , um homem que almejava o poder para viajar através de o tempo . ";"1.0";"um homem ";" almejava";"o poder ";"";"";"2";"1";"1";
"";"";"2.0";"um homem ";" almejava";"o poder para viajar através de o tempo ";"";"";"2";"1";"1";
"18";"Lançada em 1997 , a canção foi terceiro single de o álbum Everywhere . ";"1.0";"a canção ";" foi terceiro single";"de o álbum Everywhere ";"";"";"1";"1";"1";
"";"";"2.0";"a canção ";" Lançada";"em 1997 ";"";"";"1";"1";"1";
"";"";"3.0";"o álbum ";" é";"Everywhere ";"";"";"1";"3";"3";
"";"";"4.0";"a canção ";" foi";"terceiro single de o álbum Everywhere ";"";"";"1";"5";"1";
"19";"Passa por muitas praias de a Costa de a Prata , entre elas : Valadares , Espinho , Esmoriz , Ovar , Mira , Figueira de a Foz e Termas de Monte Real . ";"1.0";"Valadares , Espinho , Esmoriz , Ovar , Mira , Figueira de a Foz e Termas de Monte Real ";" Passa";"por muitas praias de a Costa de a Prata ";"";"";"1";"1";"1";
"";"";"2.0";"Valadares , Espinho , Esmoriz , Ovar , Mira , Figueira de a Foz e Termas de Monte Real ";" Passa";"por muitas praias de a Costa de a Prata , entre elas ";"";"";"1";"1";"1";
"";"";"3.0";"Valadares , Espinho , Esmoriz , Ovar , Mira , Figueira de a Foz e Termas de Monte Real ";" Passa";"entre elas ";"";"";"1";"1";"0";
"20";"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ";"1.0";"A única esperança para os sobreviventes ";" é Kit Latura";"( Sylvester Stallone ) ";"";"";"1";"1";"1";
"";"";"2.0";"A única esperança para os sobreviventes ";" é Kit Latura";"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel ";"";"";"1";"1";"1";
"";"";"3.0";"A única esperança para os sobreviventes ";" é Kit Latura";"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas ";"";"";"1";"1";"1";
"";"";"4.0";"A única esperança para os sobreviventes ";" é Kit Latura";"um ex - bombeiro que precisará entrar en o túnel ";"";"";"1";"1";"0";
"";"";"5.0";"A única esperança para os sobreviventes ";" é Kit Latura";"um ex - bombeiro que precisará entrar e resgatar as vítimas ";"";"";"1";"1";"0";
"";"";"6.0";"o ar ";" se esgote";"ou que o próprio túnel desabe ";"";"";"1";"1";"1";
"";"";"7.0";"um ex - bombeiro ";" precisará";"entrar en o túnel ";"";"";"2";"1";"1";
"";"";"8.0";"um ex - bombeiro ";" precisará";"entrar en o túnel e resgatar as vítimas ";"";"";"2";"1";"1";
"";"";"9.0";"Kit Latura ";" é";"( Sylvester Stallone ) ";"";"";"1";"3";"3";
"";"";"10.0";"A única esperança para os sobreviventes ";" é";"Kit Latura ( Sylvester Stallone ";"";"";"1";"5";"1";
"";"";"11.0";"A única esperança para os sobreviventes ";" é Kit Latura";"( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ";"";"";"1";"1";"6";
"";"";"11.1";"o ar ";" se esgote";"ou que o próprio túnel desabe ";"x";"x";"x";"x";"x";
"";"";"12.0";"A única esperança para os sobreviventes ";" é Kit Latura";"antes que ";"";"";"1";"1";"6";
"";"";"12.1";"o ar ";" se esgote";"ou que o próprio túnel desabe ";"x";"x";"x";"x";"x";
"";"";"13.0";"um ex - bombeiro ";" precisará";"entrar en o túnel e resgatar as vítimas antes que ";"";"";"2";"1";"6";
"";"";"13.1";"o ar ";" se esgote";"ou que o próprio túnel desabe ";"x";"x";"x";"x";"x";
"21";"Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ";"1.0";"Sua população ";" era";"de 3 528 habitantes em 2007 ";"";"";"1";"1";"1";
"";"";"2.0";"Sua população ";" era";"de 3 528 habitantes em 2007 e em 2007 de 3 570 habitantes ";"";"";"1";"1";"1";
"";"";"3.0";"Sua população ";" era";"de 3 528 habitantes em 2007 e em 2007 de 3 570 habitantes , segundo dados de o IBGE ";"";"";"1";"1";"1";
"";"";"4.0";"Sua população ";" era";"de 3 528 habitantes e em 2007 de 3 570 habitantes ";"";"";"1";"1";"0";
"";"";"5.0";"Sua população ";" era";"segundo dados de o IBGE ";"";"";"1";"1";"0";
"";"";"6.0";"Sua população ";" era";"em 2007 em 2007 de 3 570 habitantes ";"";"";"1";"1";"2";
"";"";"7.0";"Sua população ";" estimada";"em 2004 ";"";"";"1";"1";"1";
"22";"O diagrama seguinte representa as localidades em um raio de 8 km a o redor de Muniz . ";"1.0";"O diagrama seguinte ";" representa";"as localidades em um raio de 8 km ";"";"";"1";"1";"1";
"";"";"2.0";"O diagrama seguinte ";" representa";"as localidades em um raio de 8 km a o redor de Muniz ";"";"";"1";"1";"1";
"23";"Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ";"1.0";"Tiago ";" foi";"Em 2007 ";"";"";"1";"1";"1";
"";"";"2.0";"o goleiro com mais gols en o Brasil ";" foi";"Em 2007 ";"";"";"1";"1";"1";
"";"";"3.0";"13 en o total ";" foram";"contra 10 de o rival e ídolo Rogério Ceni ";"";"";"1";"1";"1";
"";"";"4.0";"13 en o total ";" foram";"contra 10 de o rival ";"";"";"1";"1";"2";
"";"";"5.0";"13 en o total ";" foram";"contra 10 de ídolo ";"";"";"1";"1";"2";
"";"";"6.0";"o rival ";" é";"Rogério Ceni ";"";"";"1";"3";"3";
"24";"O seu significado é celeiro , despenseiro . ";"1.0";"O seu significado ";" é";"celeiro , despenseiro ";"";"";"1";"1";"1";
"";"";"2.0";"O seu significado ";" é";"despenseiro ";"";"";"1";"1";"0";
"";"";"3.0";"O seu significado ";" é";"celeiro ";"";"";"1";"5";"1";
"25";"Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ";"1.0";"Naganuma ";" é um asteróide";"de a cintura principal ";"";"";"1";"1";"1";
"";"";"2.0";"Naganuma ";" é um asteróide";"de a cintura principal , a 1,7205248 UA ";"";"";"1";"1";"1";
"";"";"3.0";"Naganuma ";" é um asteróide";"a 1,7205248 UA ";"";"";"1";"1";"0";
"";"";"4.0";"Naganuma ";" é";"um asteróide de a cintura principal ";"";"";"1";"5";"1";
"26";"A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ";"1.0";"A galáxia ";" foi descoberta";"em 17 de Março de 1787 ";"";"";"1";"1";"1";
"";"";"2.0";"A galáxia ";" foi descoberta";"em 17 de Março de 1787 por William Herschel ";"";"";"1";"1";"1";
"";"";"3.0";"A galáxia ";" foi descoberta";"por William Herschel ";"";"";"1";"1";"0";
"";"";"4.0";"A galáxia ";" é";"NGC 3158 ";"";"";"1";"3";"3";
"";"";"5.0";"NGC 3158 ";" foi descoberta";"em 17 de Março de 1787 ";"";"";"3";"1";"1";
"";"";"6.0";"NGC 3158 ";" foi descoberta";"em 17 de Março de 1787 por William Herschel ";"";"";"3";"1";"1";
"";"";"7.0";"NGC 3158 ";" foi descoberta";"por William Herschel ";"";"";"3";"1";"0";
"27";"en a partida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a partida en a condição de mandante . ";"1.0";"a equipe ";" realizará";"a partida ";"";"";"1";"1";"1";
"";"";"2.0";"a equipe ";" realizará";"a partida en a condição de mandante ";"";"";"1";"1";"1";
"";"";"3.0";"a equipe ";" realizará";"a partida en a partida de a fase final ";"";"";"1";"1";"1";
"";"";"4.0";"a equipe ";" tiver obtido";"a melhor campanha en a somatória de todas as fases anteriores ";"";"";"2";"1";"1";
"";"";"5.0";"a equipe ";" tiver obtido";"a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional ";"";"";"2";"1";"1";
"";"";"6.0";"a equipe ";" tiver obtido";"a melhor campanha ";"";"";"2";"1";"0";
"";"";"7.0";"en o caso ";" é";"o Internacional ";"";"";"1";"3";"3";
"28";"Thomasomys laniger é uma espécie de roedor de a família Cricetidae . ";"1.0";"Thomasomys laniger ";" é uma espécie";"de roedor ";"";"";"1";"1";"1";
"";"";"2.0";"Thomasomys laniger ";" é uma espécie";"de roedor de a família Cricetidae ";"";"";"1";"1";"1";
"";"";"3.0";"Thomasomys laniger ";" é uma espécie";"de a família Cricetidae ";"";"";"1";"1";"0";
"";"";"4.0";"a família ";" é";"Cricetidae ";"";"";"1";"3";"3";
"";"";"5.0";"Thomasomys laniger ";" é";"uma espécie de roedor ";"";"";"1";"5";"1";
"29";"Sillis ( asteróide 21627 ) é um asteróide de a cintura principal , a 2,032963 UA . ";"1.0";"Sillis ";" é um asteróide";"de a cintura principal ";"";"";"1";"1";"1";
"";"";"2.0";"Sillis ";" é um asteróide";"de a cintura principal , a 2,032963 UA ";"";"";"1";"1";"1";
"";"";"3.0";"Sillis ";" é um asteróide";"a 2,032963 UA ";"";"";"1";"1";"0";
"";"";"4.0";"Sillis ";" é";"um asteróide de a cintura principal ";"";"";"1";"5";"1";
"30";"Del james ( nascido em 5 de Fevereiro de 1964 em New Rochelle , Nova Iorque , EUA ) é um escritor e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy de a banda Testament en o álbum The Ritual . ";"1.0";"Del james ";" é";"um escritor e jornalista conhecido por ter trabalhado com Axl Rose e com Chuck Billy de a banda Testament ";"";"";"1";"1";"1";
"";"";"2.0";"Del james ";" é";"um escritor e jornalista conhecido por ter trabalhado com Axl Rose e com Chuck Billy de a banda Testament de a banda Guns ' N Roses ";"";"";"1";"1";"1";
"";"";"3.0";"Del james ";" é";"um escritor e jornalista conhecido por ter trabalhado com Axl Rose e com Chuck Billy de a banda Testament de a banda Guns ' N Roses en o álbum The Ritual ";"";"";"1";"1";"1";
"";"";"4.0";"Del james ";" é";"conhecido por ter trabalhado com Axl Rose e com Chuck Billy de a banda Testament ";"";"";"1";"1";"0";
"";"";"5.0";"Del james ";" é";"conhecido por ter trabalhado de a banda Guns ' N Roses ";"";"";"1";"1";"0";
"";"";"6.0";"Del james ";" é";"conhecido por ter trabalhado en o álbum The Ritual ";"";"";"1";"1";"0";
"";"";"7.0";"Del james ";" é";"e jornalista conhecido por ter trabalhado com Axl Rose ";"";"";"1";"1";"2";
"";"";"8.0";"Del james ";" é";"e jornalista conhecido por ter trabalhado com Chuck Billy de a banda Testament ";"";"";"1";"1";"2";
"";"";"9.0";"Del james ";" ( nascido";"em 5 de Fevereiro de 1964 ";"";"";"1";"1";"1";
"";"";"10.0";"Del james ";" ( nascido";"em 5 de Fevereiro de 1964 em New Rochelle , Nova Iorque , EUA ";"";"";"1";"1";"1";
"";"";"11.0";"Del james ";" ( nascido";"em 5 de Fevereiro de 1964 em New Rochelle , Nova Iorque , EUA ) ";"";"";"1";"1";"1";
"";"";"12.0";"Del james ";" ( nascido";"em New Rochelle , Nova Iorque , EUA ";"";"";"1";"1";"0";
"";"";"13.0";"New Rochelle ";" é";"Nova Iorque ";"";"";"1";"3";"3";
"";"";"14.0";"Nova Iorque ";" é";"EUA ";"";"";"1";"3";"3";
"";"";"15.0";"a banda ";" é";"Guns ' N Roses ";"";"";"1";"3";"3";
"";"";"16.0";"a banda ";" é";"Testament ";"";"";"1";"3";"3";
"";"";"17.0";"o álbum ";" é";"The Ritual ";"";"";"1";"3";"3";
"";"";"18.0";"Del james ";" é";"um escritor ";"";"";"1";"5";"1";
"";"";"19.0";"Del james ";" é";"jornalista ";"";"";"1";"5";"1";
"31";"Jerônimo de Cárdia foi um historiador grego . ";"1.0";"Jerônimo de Cárdia ";" foi um historiador";"grego ";"";"";"1";"1";"1";
"";"";"2.0";"Jerônimo de Cárdia ";" foi";"um historiador grego ";"";"";"1";"5";"1";
"32";"Estes espíritos eram mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício . ";"1.0";"Estes espíritos ";" eram mais frequentemente descritos";"como espectros de animais ";"";"";"1";"1";"1";
"";"";"2.0";"Estes espíritos ";" eram mais frequentemente descritos";"como espectros de animais ou pessoas injustiçadas por o portador ";"";"";"1";"1";"1";
"";"";"3.0";"Estes espíritos ";" eram mais frequentemente descritos";"como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício ";"";"";"1";"1";"1";
"";"";"4.0";"Estes espíritos ";" eram mais frequentemente descritos";"como espectros ou pessoas injustiçadas por o portador ";"";"";"1";"1";"0";
"";"";"5.0";"Estes espíritos ";" eram mais frequentemente descritos";"os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício ";"";"";"1";"1";"0";
"";"";"6.0";"Estes espíritos ";" eram mais frequentemente descritos";"de animais como pessoas ";"";"";"1";"1";"2";
"";"";"7.0";"Estes espíritos ";" eram mais frequentemente descritos";"de animais como pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos respeitosas de ofertas de sacrifício ";"";"";"1";"1";"2";
"";"";"8.0";"os ritos de exorcismo ";" geralmente eram compostos";"de ofertas respeitosas ou ofertas de sacrifício ";"";"";"1";"1";"1";
"";"";"9.0";"os ritos de exorcismo ";" geralmente eram compostos";"de ofertas respeitosas ";"";"";"1";"1";"2";
"";"";"10.0";"os ritos de exorcismo ";" geralmente eram compostos";"de animais como pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos respeitosas de ofertas de sacrifício ";"";"";"1";"1";"2";
"";"";"11.0";"os ritos de exorcismo ";" geralmente eram";"compostos de ofertas respeitosas ";"";"";"1";"5";"1";
"33";"Mohanpur Mohammadpur é uma vila en o distrito de Hardwar , en o estado indiano de Uttaranchal . ";"1.0";"Mohanpur Mohammadpur ";" é uma vila";"en o distrito de Hardwar ";"";"";"1";"1";"1";
"";"";"2.0";"Mohanpur Mohammadpur ";" é uma vila";"en o distrito de Hardwar , en o estado indiano de Uttaranchal ";"";"";"1";"1";"1";
"";"";"3.0";"Mohanpur Mohammadpur ";" é uma vila";"en o estado indiano de Uttaranchal ";"";"";"1";"1";"0";
"";"";"4.0";"Mohanpur Mohammadpur ";" é";"uma vila en o distrito de Hardwar ";"";"";"1";"5";"1";
"34";"Epidendrum denticulatum , é uma espécie de orquídea , muito comum en o Brasil , que faz parte de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas , distintas apenas por pequenos detalhes , as quais de modo geral são consideradas sinônimos de o E. ";"1.0";"Epidendrum denticulatum ";" é uma espécie";"de orquídea ";"";"";"1";"1";"1";
"";"";"2.0";"Epidendrum denticulatum ";" é uma espécie";"de orquídea , muito comum en o Brasil ";"";"";"1";"1";"1";
"";"";"3.0";"Epidendrum denticulatum ";" é uma espécie";"de orquídea , muito comum en o Brasil , que faz parte de um grupo de espécies de pertencentes a o gênero Epidendrum ";"";"";"1";"1";"1";
"";"";"4.0";"Epidendrum denticulatum ";" é uma espécie";"de orquídea , muito comum en o Brasil , que faz parte de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas , distintas apenas por pequenos detalhes ";"";"";"1";"1";"1";
"";"";"5.0";"Epidendrum denticulatum ";" é uma espécie";"muito comum en o Brasil ";"";"";"1";"1";"0";
"";"";"6.0";"Epidendrum denticulatum ";" é uma espécie";"que faz parte de um grupo de espécies de pertencentes a o gênero Epidendrum ";"";"";"1";"1";"0";
"";"";"7.0";"Epidendrum denticulatum ";" é uma espécie";"todas muito parecidas , distintas apenas por pequenos detalhes ";"";"";"1";"1";"0";
"";"";"8.0";"Epidendrum denticulatum ";" é uma espécie";"de orquídea , muito comum en o Brasil , todas muito parecidas ";"";"";"1";"1";"2";
"";"";"9.0";"Epidendrum denticulatum ";" é uma espécie";"de orquídea , muito comum en o Brasil , todas distintas apenas por pequenos detalhes ";"";"";"1";"1";"2";
"";"";"10.0";"as quais ";" são consideradas sinônimos";"de o E. ";"";"";"1";"1";"1";
"";"";"11.0";"as quais ";" são consideradas sinônimos";"de modo geral ";"";"";"1";"1";"1";
"";"";"12.0";"uma espécie de orquídea ";" faz";"parte de um grupo de espécies de pertencentes a o gênero Epidendrum ";"";"";"2";"1";"1";
"";"";"13.0";"o gênero ";" é";"Epidendrum ";"";"";"1";"3";"3";
"";"";"14.0";"Epidendrum denticulatum ";" é";"uma espécie de orquídea ";"";"";"1";"5";"1";
"";"";"15.0";"as quais ";" são consideradas";"sinônimos de modo geral ";"";"";"1";"5";"1";
"35";"A Koyamaki foi escolhida como o kamon ( brasão ) de o Príncipe Hisahito de Akishino , actualmente o terceiro en a sucessão de o Trono de o Crisântemo . ";"1.0";"A Koyamaki ";" foi escolhida";"como o kamon ( brasão ) ";"";"";"1";"1";"1";
