ID SENTENÇA ,SENTENÇA ,ID EXTRAÇÃO ,ARG1 ,REL ,ARG2 ,COERÊNCIA ,MINIMALIDADE ,MÓDULO SUJEITO ,MÓDULO RELAÇÃO ,MÓDULO ARG2,SISTEMA
,,4.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco ,,,1,1,1,mquni
,,5.0,a limpeza e organização , quando notam,presente en a cultura de o povo local ,,,1,1,1,mquni
,,6.0,quem , condiz,com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ,,,1,2,1,mquni
,,7.0,o Rio , é,São Francisco ,,,1,3,3,mquni
,,8.0,Tal percepção , é,visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ,,,1,1,6,mquni
,,8.1,a limpeza e organização , quando notam,presente en a cultura de o povo local ,x,x,x,x,x,mquni
,,9.0,os visitantes de os mais diversos estados brasileiros , têm,a o visitar os cânions de o Rio São Francisco ,,,1,1,6,mquni
,,9.1,a limpeza e organização , quando notam,presente en a cultura de o povo local ,x,x,x,x,x,mquni
,,10.0,os visitantes de os mais diversos estados brasileiros , têm,,,,1,1,6,mquni
,,10.1,a limpeza e organização , quando notam,presente en a cultura de o povo local ,x,x,x,x,x,mquni
,,11.0,quem , condiz,com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ,,,1,2,6,mquni
,,11.1,a limpeza e organização , quando notam,presente en a cultura de o povo local ,x,x,x,x,x,mquni
,,12.0,quem , condiz,,,,1,2,6,mquni
,,12.1,a limpeza e organização , quando notam,presente en a cultura de o povo local ,x,x,x,x,x,mquni
16,"O CSKA venceu 5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia e cinco Copas de a União Soviética . ",1.0,O CSKA , venceu,"5 Campeonatos Russos , sete Campeonatos Soviéticos ",,,1,1,1,mquni
,,2.0,O CSKA , venceu,"5 Campeonatos Russos , sete Campeonatos Soviéticos , sete Copas de a Rússia e cinco Copas de a União Soviética ",,,1,1,1,mquni
,,3.0,O CSKA , venceu,5 Campeonatos Russos ,,,1,1,2,mquni
,,4.0,O CSKA , venceu,Russos sete Campeonatos Soviéticos ,,,1,1,2,mquni
,,5.0,O CSKA , venceu,Russos sete Copas de a Rússia ,,,1,1,2,mquni
,,6.0,O CSKA , venceu,Russos cinco Copas de a União Soviética ,,,1,1,2,mquni
17,"Este pertência a o Rei de Soleanna , um homem que almejava o poder para viajar através de o tempo . ",1.0,um homem , almejava,o poder ,,,2,1,1,mquni
,,2.0,um homem , almejava,o poder para viajar através de o tempo ,,,2,1,1,mquni
18,"Lançada em 1997 , a canção foi terceiro single de o álbum Everywhere . ",1.0,a canção , foi terceiro single,de o álbum Everywhere ,,,1,1,1,mquni
,,2.0,o álbum , é,Everywhere ,,,1,3,3,mquni
,,3.0,a canção , foi,terceiro single de o álbum Everywhere ,,,1,5,1,mquni
19,"Passa por muitas praias de a Costa de a Prata , entre elas : Valadares , Espinho , Esmoriz , Ovar , Mira , Figueira de a Foz e Termas de Monte Real . ",,,,,,,,,,mquni
20,"A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ",1.0,A única esperança para os sobreviventes , é Kit Latura,( Sylvester Stallone ,,,1,1,1,mquni
,,2.0,A única esperança para os sobreviventes , é Kit Latura,"( Sylvester Stallone , um ex - bombeiro que precisará entrar en o túnel ",,,1,1,1,mquni
,,3.0,A única esperança para os sobreviventes , é Kit Latura,um ex - bombeiro que precisará entrar en o túnel ,,,1,1,0,mquni
,,4.0,o ar , se esgote,ou que o próprio túnel desabe ,,,1,1,1,mquni
,,5.0,um ex - bombeiro , precisará,entrar en o túnel ,,,2,1,1,mquni
,,6.0,Kit Latura , é,( Sylvester Stallone ,,,1,3,3,mquni
,,7.0,A única esperança para os sobreviventes , é,Kit Latura ( Sylvester Stallone ,,,1,5,1,mquni
,,8.0,A única esperança para os sobreviventes , é,um ex - bombeiro ,,,1,5,1,mquni
,,9.0,A única esperança para os sobreviventes , é Kit Latura,"( Sylvester Stallone , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ",,,1,1,6,mquni
,,9.1,o ar , se esgote,ou que o próprio túnel desabe ,x,x,x,x,x,mquni
,,10.0,A única esperança para os sobreviventes , é Kit Latura,um ex - bombeiro que precisará entrar e resgatar as vítimas antes que ,,,1,1,6,mquni
,,10.1,o ar , se esgote,ou que o próprio túnel desabe ,x,x,x,x,x,mquni
,,11.0,um ex - bombeiro , precisará,entrar en o túnel e resgatar as vítimas antes que ,,,2,1,6,mquni
,,11.1,o ar , se esgote,ou que o próprio túnel desabe ,x,x,x,x,x,mquni
21,"Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ",1.0,Sua população , era,segundo dados de o IBGE ,,,1,1,1,mquni
,,2.0,3 528 habitantes e em 2007 de 3 570 habitantes , era,segundo dados de o IBGE ,,,1,1,1,mquni
22,O diagrama seguinte representa as localidades em um raio de 8 km a o redor de Muniz . ,1.0,O diagrama seguinte , representa,as localidades em um raio de 8 km ,,,1,1,1,mquni
,,2.0,O diagrama seguinte , representa,as localidades em um raio de 8 km a o redor de Muniz ,,,1,1,1,mquni
23,"Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ",1.0,Tiago , foi o goleiro,com mais gols ,,,1,1,1,mquni
,,2.0,Tiago , foi o goleiro,com mais gols en o Brasil ,,,1,1,1,mquni
,,3.0,Tiago , foi o goleiro,Em 2007 ,,,1,1,1,mquni
,,4.0,Tiago , foi o goleiro,en o Brasil ,,,1,1,0,mquni
,,5.0,13, foram,en o total ,,,1,1,1,mquni
,,6.0,13, foram,"en o total , contra 10 de o rival e ídolo Rogério Ceni ",,,1,1,1,mquni
,,7.0,13, foram,contra 10 de o rival e ídolo Rogério Ceni ,,,1,1,0,mquni
,,8.0,13, foram,"en o total , contra 10 de o rival ",,,1,1,2,mquni
,,9.0,13, foram,"en o total , contra 10 de ídolo ",,,1,1,2,mquni
,,10.0,9, sendo,en a disputa de a Séria B de o Campeonato Brasileiro ,,,1,1,1,mquni
,,11.0,Tiago , foram,en o total ,,,1,2,1,mquni
,,12.0,Tiago , foram,"en o total , contra 10 de o rival e ídolo Rogério Ceni ",,,1,2,1,mquni
,,13.0,Tiago , foram,contra 10 de o rival e ídolo Rogério Ceni ,,,1,2,0,mquni
,,14.0,Tiago , foram,"en o total , contra 10 de o rival ",,,1,2,2,mquni
,,15.0,Tiago , foram,"en o total , contra 10 de ídolo ",,,1,2,2,mquni
,,16.0,o rival , é,Rogério Ceni ,,,1,3,3,mquni
,,17.0,Tiago , foi,o goleiro Em 2007 ,,,1,5,1,mquni
24,"O seu significado é celeiro , despenseiro . ",1.0,O seu significado , é,"celeiro , despenseiro ",,,1,1,1,mquni
,,2.0,O seu significado , é,despenseiro ,,,1,1,0,mquni
,,3.0,O seu significado , é,celeiro ,,,1,5,1,mquni
25,"Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ",1.0,Naganuma , é um asteróide,de a cintura principal ,,,1,1,1,mquni
,,2.0,Naganuma , é um asteróide,"de a cintura principal , a 1,7205248 UA ",,,1,1,1,mquni
,,3.0,Naganuma , é um asteróide,"a 1,7205248 UA ",,,1,1,0,mquni
,,4.0,Naganuma , é,um asteróide de a cintura principal ,,,1,5,1,mquni
26,A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ,1.0,A galáxia , foi descoberta,em 17 de Março de 1787 ,,,1,1,1,mquni
,,2.0,A galáxia , foi descoberta,em 17 de Março de 1787 por William Herschel ,,,1,1,1,mquni
,,3.0,A galáxia , foi descoberta,por William Herschel ,,,1,1,0,mquni
,,4.0,A galáxia , é,NGC 3158 ,,,1,3,3,mquni
,,5.0,NGC 3158 , foi descoberta,em 17 de Março de 1787 ,,,3,1,1,mquni
,,6.0,NGC 3158 , foi descoberta,em 17 de Março de 1787 por William Herschel ,,,3,1,1,mquni
,,7.0,NGC 3158 , foi descoberta,por William Herschel ,,,3,1,0,mquni
27,"en a PRTida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a PRTida en a condição de mandante . ",1.0,a equipe , realizará,a PRTida ,,,1,1,1,mquni
,,2.0,a equipe , realizará,a PRTida en a condição de mandante ,,,1,1,1,mquni
,,3.0,a equipe , realizará,a PRTida en a PRTida de a fase final ,,,1,1,1,mquni
,,4.0,a equipe , tiver,obtido a melhor campanha en a somatória de todas as fases anteriores ,,,2,1,1,mquni
,,5.0,a equipe , tiver,"obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso ",,,2,1,1,mquni
,,6.0,a equipe , tiver,"obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional ",,,2,1,1,mquni
28,Thomasomys laniger é uma espécie de roedor de a família Cricetidae . ,1.0,Thomasomys laniger , é uma espécie,de roedor ,,,1,1,1,mquni
,,2.0,Thomasomys laniger , é uma espécie,de roedor de a família Cricetidae ,,,1,1,1,mquni
,,3.0,Thomasomys laniger , é uma espécie,de a família Cricetidae ,,,1,1,0,mquni
,,4.0,a família , é,Cricetidae ,,,1,3,3,mquni
,,5.0,Thomasomys laniger , é,uma espécie de roedor ,,,1,5,1,mquni
29,"Sillis ( asteróide 21627 ) é um asteróide de a cintura principal , a 2,032963 UA . ",1.0,Sillis , é um asteróide,de a cintura principal ,,,1,1,1,mquni
,,2.0,Sillis , é um asteróide,"de a cintura principal , a 2,032963 UA ",,,1,1,1,mquni
,,3.0,Sillis , é um asteróide,"a 2,032963 UA ",,,1,1,0,mquni
,,4.0,Sillis , é,um asteróide de a cintura principal ,,,1,5,1,mquni
30,"Del james ( nascido em 5 de Fevereiro de 1964 em New Rochelle , Nova Iorque , EUA ) é um escritor e jornalista conhecido por ter trabalhado com Axl Rose de a banda Guns N ' Roses e com Chuck Billy de a banda Testament en o álbum The Ritual . ",1.0,New Rochelle , é,Nova Iorque ,,,1,3,3,mquni
,,2.0,Nova Iorque , é,EUA ,,,1,3,3,mquni
,,3.0,a banda , é,Guns N Roses ,,,1,3,3,mquni
,,4.0,a banda , é,Testament ,,,1,3,3,mquni
,,5.0,o álbum , é,The Ritual ,,,1,3,3,mquni
31,Jerônimo de Cárdia foi um historiador grego . ,1.0,Jerônimo de Cárdia , foi um historiador,grego ,,,1,1,1,mquni
,,2.0,Jerônimo de Cárdia , foi,um historiador grego ,,,1,5,1,mquni
32,"Estes espíritos eram mais frequentemente descritos como espectros de animais ou pessoas injustiçadas por o portador , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício . ",1.0,Estes espíritos , eram mais frequentemente descritos,como espectros de animais ,,,1,1,1,mquni
,,2.0,Estes espíritos , eram mais frequentemente descritos,como espectros de animais ou pessoas ,,,1,1,1,mquni
,,3.0,Estes espíritos , eram mais frequentemente descritos,"como espectros de animais ou pessoas , os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício ",,,1,1,1,mquni
,,4.0,Estes espíritos , eram mais frequentemente descritos,como espectros ou pessoas ,,,1,1,0,mquni
,,5.0,Estes espíritos , eram mais frequentemente descritos,os ritos de exorcismo geralmente eram compostos de ofertas respeitosas ou ofertas de sacrifício ,,,1,1,0,mquni
,,6.0,Estes espíritos , eram mais frequentemente descritos,de animais como pessoas ,,,1,1,2,mquni
,,7.0,Estes espíritos , eram mais frequentemente descritos,"de animais como pessoas , os ritos de exorcismo geralmente eram compostos respeitosas de ofertas de sacrifício ",,,1,1,2,mquni
,,8.0,os ritos de exorcismo , geralmente eram compostos,de ofertas respeitosas ou ofertas de sacrifício ,,,1,1,1,mquni
,,9.0,os ritos de exorcismo , geralmente eram compostos,de ofertas respeitosas ,,,1,1,2,mquni
,,10.0,os ritos de exorcismo , geralmente eram compostos,"de animais como pessoas , os ritos de exorcismo geralmente eram compostos respeitosas de ofertas de sacrifício ",,,1,1,2,mquni
33,"Mohanpur Mohammadpur é uma vila en o distrito de Hardwar , en o estado indiano de Uttaranchal . ",1.0,Mohanpur Mohammadpur , é uma vila,en o distrito de Hardwar ,,,1,1,1,mquni
,,2.0,Mohanpur Mohammadpur , é uma vila,"en o distrito de Hardwar , en o estado indiano de Uttaranchal ",,,1,1,1,mquni
,,3.0,Mohanpur Mohammadpur , é uma vila,en o estado indiano de Uttaranchal ,,,1,1,0,mquni
,,4.0,Mohanpur Mohammadpur , é,uma vila en o distrito de Hardwar ,,,1,5,1,mquni
34,"Epidendrum denticulatum , é uma espécie de orquídea , muito comum en o Brasil , que faz PRTe de um grupo de espécies de pertencentes a o gênero Epidendrum , todas muito parecidas , distintas apenas por pequenos detalhes , as quais de modo geral são consideradas sinônimos de o E. ",1.0,"uma espécie de orquídea , muito comum en o Brasil ", faz,PRTe de um grupo de espécies de pertencentes a o gênero Epidendrum ,,,2,1,1,mquni
,,2.0,o gênero , é,Epidendrum ,,,1,3,3,mquni
35,"A Koyamaki foi escolhida como o kamon ( brasão ) de o Príncipe Hisahito de Akishino , actualmente o terceiro en a sucessão de o Trono de o Crisântemo . ",1.0,A Koyamaki , foi escolhida,como o kamon ( brasão ,,,1,1,1,mquni
,,2.0,A Koyamaki , foi escolhida,como o kamon ( brasão de o Príncipe Hisahito de Akishino ,,,1,1,1,mquni
,,3.0,A Koyamaki , foi escolhida,"como o kamon ( brasão de o Príncipe Hisahito de Akishino , actualmente o terceiro en a sucessão de o Trono de o Crisântemo ",,,1,1,1,mquni
,,4.0,A Koyamaki , foi escolhida,como o kamon de o Príncipe Hisahito de Akishino ,,,1,1,0,mquni
,,5.0,A Koyamaki , foi escolhida,actualmente o terceiro en a sucessão de o Trono de o Crisântemo ,,,1,1,0,mquni
36,"O realismo de o show acabou por se tornar uma barreira para a audiência , segundo o instituto Nielsen Media Research , a série tinha índices baixíssimos de audiência e foi cancelada com menos de 4 meses en o ar . ",1.0,O realismo de o show , acabou,se tornar uma barreira para a audiência ,,,1,1,1,mquni
,,2.0,O realismo de o show , acabou,"se tornar uma barreira para a audiência instituto Nielsen Media Research , a série tinha índices baixíssimos de audiência ",,,1,1,1,mquni
,,3.0,O realismo de o show , acabou,"se tornar uma barreira para a audiência instituto Nielsen Media Research , a série tinha índices baixíssimos de audiência e foi cancelada com menos de 4 meses ",,,1,1,1,mquni
,,4.0,O realismo de o show , acabou,"se tornar uma barreira para a audiência instituto Nielsen Media Research , a série tinha índices baixíssimos de audiência e foi cancelada com menos de 4 meses en o ar ",,,1,1,1,mquni
,,5.0,O realismo de o show , acabou,"instituto Nielsen Media Research , a série tinha índices baixíssimos de audiência ",,,1,1,0,mquni
,,6.0,O realismo de o show , acabou,"instituto Nielsen Media Research , a série tinha e foi cancelada com menos de 4 meses ",,,1,1,0,mquni
,,7.0,O realismo de o show , acabou,"instituto Nielsen Media Research , a série tinha e foi cancelada en o ar ",,,1,1,0,mquni
,,8.0,a série , tinha,índices baixíssimos de audiência ,,,1,1,1,mquni
,,9.0,a série , tinha,"índices baixíssimos de audiência , segundo o instituto Nielsen Media Research ",,,1,1,1,mquni
,,10.0,a série , foi cancelada,com menos de 4 meses ,,,1,2,1,mquni
,,11.0,a série , foi cancelada,com menos de 4 meses en o ar ,,,1,2,1,mquni
,,12.0,a série , foi cancelada,en o ar ,,,1,2,0,mquni
,,13.0,segundo o instituto , é,Nielsen Media Research ,,,1,3,3,mquni
37,"O clima é geralmente mais quente que o de Auckland , com menos humidade e chuva , e mais horas de luz . ",1.0,O clima , é,mais quente ,,,1,1,1,mquni
,,2.0,O clima , é,mais quente que o de Auckland ,,,1,1,1,mquni
,,3.0,O clima , é,"mais quente que o de Auckland , com menos humidade e chuva e mais horas de luz ",,,1,1,1,mquni
,,4.0,O clima , é,"mais quente , com menos humidade e chuva e mais horas de luz ",,,1,1,0,mquni
,,5.0,O clima , é,"mais quente que o de Auckland , com menos humidade ",,,1,1,2,mquni
,,6.0,O clima , é,mais quente que o de Auckland chuva ,,,1,1,2,mquni
,,7.0,O clima , é,mais quente que o de Auckland mais horas de luz ,,,1,1,2,mquni
38,"Põlde é localizado en o município de Abja vald e Viljandimaa , en o sul de o país , e 150 km a o sul de a capital Tallinn . ",1.0,Põlde , é localizado,en o município de Abja vald e Viljandimaa ,,,1,1,1,mquni
,,2.0,Põlde , é localizado,"en o município de Abja vald e Viljandimaa , en o sul de o país ",,,1,1,1,mquni
,,3.0,Põlde , é localizado,"en o município de Abja vald e Viljandimaa , en o sul de o país , e 150 km a o sul de a capital Tallinn ",,,1,1,1,mquni
,,4.0,Põlde , é localizado,en o sul de o país ,,,1,1,0,mquni
,,5.0,Põlde , é localizado,e 150 km a o sul de a capital Tallinn ,,,1,1,0,mquni
,,6.0,Põlde , é localizado,en o município de Abja vald ,,,1,1,2,mquni
,,7.0,Põlde , é localizado,en o município vald de Viljandimaa ,,,1,1,2,mquni
,,8.0,a capital , é,Tallinn ,,,1,3,3,mquni
39,"Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ",1.0,Pierre , começou a jogar,Futsal ,,,1,1,1,mquni
,,2.0,Pierre , começou a jogar,Futsal em 1985 ,,,1,1,1,mquni
,,3.0,Pierre , começou a jogar,Futsal em 1985 en as escolinhas de o clube Álvares Cabral ,,,1,1,1,mquni
,,4.0,Pierre , começou a jogar,"Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES ",,,1,1,1,mquni
,,5.0,Pierre , começou a jogar,Futsal en as escolinhas de o clube Álvares Cabral ,,,1,1,0,mquni
,,6.0,Pierre , começou a jogar,"Futsal em Vitória , ES ",,,1,1,0,mquni
,,7.0,o clube , é,Álvares Cabral ,,,1,3,3,mquni
,,8.0,Vitória , é,ES ,,,1,3,3,mquni
40,Este asteróide foi descoberto em 27 de Abril de 1998 por Paul Comba . ,1.0,Este asteróide , foi descoberto,em 27 de Abril de 1998 ,,,1,1,1,mquni
,,2.0,Este asteróide , foi descoberto,em 27 de Abril de 1998 por Paul Comba ,,,1,1,1,mquni
,,3.0,Este asteróide , foi descoberto,por Paul Comba ,,,1,1,0,mquni
41,Sua capital é a cidade de Tarata . ,1.0,Sua capital , é a cidade,de Tarata ,,,1,1,1,mquni
,,2.0,Sua capital , é,a cidade de Tarata ,,,1,5,1,mquni
42,"Corani é um distrito de o Peru , dePRTamento de Puno , localizada en a província de Carabaya . ",1.0,Corani , é um distrito,de o Peru ,,,1,1,1,mquni
,,2.0,Corani , é um distrito,"de o Peru , dePRTamento de Puno ",,,1,1,1,mquni
,,3.0,Corani , é um distrito,dePRTamento de Puno ,,,1,1,0,mquni
,,4.0,Corani , é,um distrito de o Peru ,,,1,5,1,mquni
43,"Localiza - se en o dePRTamento de Santa Rosa , Município de Chiquimulilla . ",1.0,Santa Rosa , é,Município de Chiquimulilla ,,,1,3,3,mquni
44,"Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ",1.0,Esta lista , reúne,os recordes olímpicos de o tiro esportivo ,,,1,1,1,mquni
45,"O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ",1.0,O beato , é,muito famoso ,,,1,1,1,mquni
,,2.0,O beato , é,muito famoso por todo o Brasil ,,,1,1,1,mquni
,,3.0,O beato , é,Padre Eustáquio ,,,1,3,3,mquni
,,4.0,Padre Eustáquio , é,muito famoso ,,,3,1,1,mquni
,,5.0,Padre Eustáquio , é,muito famoso por todo o Brasil ,,,3,1,1,mquni
46,"Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ",,,,,,,,,,mquni
47,Salleri é uma cidade de o Nepal . ,1.0,Salleri , é uma cidade,de o Nepal ,,,1,1,1,mquni
,,2.0,Salleri , é,uma cidade de o Nepal ,,,1,5,1,mquni
48,Exerceu várias vezes o cargo de deputado provincial por Pernambuco . ,,,,,,,,,,mquni
49,"Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ",1.0,Similares espíritos divinos , também são encontrados,en as tradições de a África Central e África Ocidental ,,,1,1,1,mquni
,,2.0,Similares espíritos divinos , também são encontrados,en as tradições de a África Central e África Ocidental de onde eles derivam - o ,,,1,1,1,mquni
